iter	RMSE
0	0.5943164161
1	0.5788533689
2	0.563229903
3	0.5490069367
4	0.5356130362
5	0.5227931748
6	0.5108849676
7	0.4989067714
8	0.4871512851
9	0.4759229611
10	0.4659093359
11	0.4563734307
12	0.4474585646
13	0.4388829099
14	0.4309633532
15	0.4235417859
16	0.416329866
17	0.4086856332
18	0.4011444553
19	0.3948475346
20	0.3901719031
21	0.3839060467
22	0.3787931153
23	0.3726719414
24	0.3672991304
25	0.3623517252
26	0.357520343
27	0.3535863191
28	0.3494423468
29	0.3446250076
30	0.3405364389
31	0.3367886322
32	0.3338101588
33	0.3306914121
34	0.3277357191
35	0.3249157905
36	0.3222382707
37	0.3191432593
38	0.3160831254
39	0.3134950622
40	0.3116882169
41	0.3092867488
42	0.3066291856
43	0.3043972074
44	0.3022382403
45	0.3002111936
46	0.2980080384
47	0.2959436356
48	0.2938717484
49	0.292249703
50	0.290687821
51	0.2887024043
52	0.2874537045
53	0.285868737
54	0.2843739195
55	0.2827766112
56	0.2815458316
57	0.2803563809
58	0.2789072592
59	0.2774874306
60	0.2765244417
61	0.2752522061
62	0.2744405102
63	0.2731519959
64	0.2722240444
65	0.2710326085
66	0.26989386
67	0.2688721465
68	0.2678414666
69	0.2666216678
70	0.2658100195
71	0.2648285348
72	0.2636529703
73	0.2630504046
74	0.262202649
75	0.2612583349
76	0.2603546143
77	0.2593589049
78	0.258419801
79	0.2576279924
80	0.2569470747
81	0.2565448137
82	0.2558760061
83	0.2552455025
84	0.2547252408
85	0.2542943883
86	0.2534080838
87	0.2527223447
88	0.2524354517
89	0.2520865656
90	0.2512628438
91	0.2509882758
92	0.2503886659
93	0.24953908
94	0.2488509042
95	0.2485404787
96	0.2480298796
97	0.2472765863
98	0.2469026298
99	0.2464392894
100	0.2460016378
101	0.2452025983
102	0.2448004204
103	0.2445626824
104	0.2441466149
105	0.2433997169
106	0.2430880978
107	0.2426668483
108	0.2423866328
109	0.2416244423
110	0.2406591288
111	0.2400802641
112	0.2398060474
113	0.2395663046
114	0.2392908474
115	0.238741546
116	0.2383361999
117	0.2379303652
118	0.2375907448
119	0.2371625856
120	0.2367852959
121	0.2363767624
122	0.2358264403
123	0.2355333834
124	0.2352830092
125	0.2350180568
126	0.2345935034
127	0.234265098
128	0.2337526774
129	0.2334169758
130	0.2330824323
131	0.2328819261
132	0.2324215932
133	0.2321462279
134	0.2319404903
135	0.2318310623
136	0.2312858466
137	0.2310017621
138	0.2307523595
139	0.2307064649
140	0.2304102195
141	0.2300893136
142	0.2298524768
143	0.2295587067
144	0.2293544884
145	0.2292590345
146	0.2289426592
147	0.2282735565
148	0.2278007469
149	0.2274633694
150	0.2272840532
151	0.2271703894
152	0.2269078343
153	0.2266013453
154	0.226151018
155	0.225993906
156	0.2256882903
157	0.2254675147
158	0.2250648458
159	0.2245220398
160	0.2241660153
161	0.2241526338
162	0.2239221382
163	0.2234677581
164	0.2232957874
165	0.2231985705
166	0.2229208514
167	0.2228090958
168	0.2226353757
169	0.2224045242
170	0.2224043709
171	0.2220456567
172	0.2213159594
173	0.2210674547
174	0.2209523423
175	0.2206946073
176	0.2204461888
177	0.22010947
178	0.2196423459
179	0.2194948573
180	0.2192092788
181	0.2186788888
182	0.2184407974
183	0.2181909357
184	0.2181484311
185	0.2181318613
186	0.2176261547
187	0.2172736441
188	0.2170943938
189	0.2169216592
190	0.2169215099
191	0.2166250798
192	0.2162497696
193	0.2158766324
194	0.2158112164
195	0.2157802446
196	0.2155977135
197	0.2152312993
198	0.2146358664
199	0.214226519
200	0.2138243749
201	0.2137640255
202	0.2132631228
203	0.2127323658
204	0.2123699427
205	0.2119687633
206	0.2118433572
207	0.211549955
208	0.2113680445
209	0.2112159722
210	0.2109496409
211	0.2109354926
212	0.2106199514
213	0.2104249608
214	0.2103410201
215	0.2096645499
216	0.2096537958
217	0.2096401793
218	0.2096247688
219	0.2094728793
220	0.2089048233
221	0.2087833888
222	0.208441332
223	0.2083884338
224	0.2083802897
225	0.2081165968
226	0.2077513013
227	0.2076911848
228	0.2073259036
229	0.2068414437
230	0.2066166308
231	0.2061858727
232	0.2060153617
233	0.2058619471
234	0.2057632269
235	0.2054638286
236	0.205184187
237	0.2050982982
